,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
45,2000894,20,2007,10,"48.901015710073565, 2.3802602525012198"
46,2000906,2,2007,10,"48.8690921696918, 2.349729605510485"
47,2000918,7,2007,11,"48.85984329021336, 2.3096882462671102"
48,2000982,12,2007,141,"48.84897440010339, 2.3909879240664704"
49,2000989,10,2007,66,"48.871396769801, 2.350769405242443"
50,2000994,15,2007,10,"48.8299668104287, 2.303051979529949"
51,2001009,18,2007,3,"48.89605600989635, 2.34751171318518"
52,2001012,18,2007,6,"48.89310307018277, 2.350974968117882"
53,2001036,20,2008,303,"48.87138242999363, 2.4017182765321423"
54,2001055,12,2008,27,"48.83350834008081, 2.3896940864958056"
